hash,Cuestionario:P1F1T1P1 (Real),Cuestionario:P1F1T1P2 (Real),Cuestionario:P1F1T2P1 (Real),Cuestionario:P1F1T2P2 (Real),Cuestionario:P1F1T3P1 (Real),Cuestionario:P1F1T3P2 (Real),Cuestionario:P1F2T1P1 (Real),Cuestionario:P1F2T1P2 (Real),Cuestionario:P1F2T2P1 (Real),Cuestionario:P1F2T2P2 (Real),Cuestionario:P1F2T3P1 (Real),Cuestionario:P1F2T3P2 (Real)
7129089490575639704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6538088232442040934,1.0,0.86,0.27449999999999997,0.0,0.5778333333333333,0.0,0.0,0.0,0.9215,0.9500000000000001,0.6333333333333333,0.58
2290222932423240555,1.0,0.6667500000000001,0.853,0.8500000000000001,0.9554999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-5372520707229885685,0.596,0.0,0.8333333333333334,0.9,0.4646666666666666,0.0,1.0,1.0,0.0,0.0,1.0,1.0
8607793966546382843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-771718180431618932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2503864799415174948,1.0,0.5950000000000001,0.5353333333333333,0.0,1.0,0.8500000000000001,0.0,0.0,0.6515000000000001,1.0,0.0,0.0
-5475549379921528341,1.0,0.91825,0.5075,0.0,0.9778333333333333,0.41,0.0,0.0,1.0,0.8500000000000001,0.0,0.6000000000000001
2657507392789765665,0.7273333333333334,1.0,0.6666666666666666,0.80825,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.75
-7639153582448407061,0.6666666666666666,0.8900000000000001,1.0,0.875,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0
7276484636288720018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5637727245258784489,1.0,0.9500000000000001,1.0,1.0,1.0,0.8800000000000001,0.0,0.0,0.0,0.0,0.0,0.0
-842518843928880837,0.798,0.9199999999999999,1.0,0.95825,1.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0
-4532346803874078974,1.0,0.9375,0.7255,0.7250000000000001,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
-2564092977677910835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4078025125952167550,0.8788333333333332,0.7175,0.7548333333333334,0.70825,0.9333333333333333,0.45,0.0,0.0,0.0,0.0,0.0,1.0
-1518087918625279071,1.0,0.92875,1.0,0.9500000000000001,0.798,0.9300000000000002,0.0,0.0,0.0,0.0,0.0,0.0
-6438827922184474404,0.6666666666666666,0.53,0.3636666666666667,0.0,1.0,0.25,0.0,0.0,1.0,0.7000000000000001,0.0,1.0
-4070224574520220928,0.2323333333333333,0.0,0.408,0.0,0.36766666666666664,0.0,0.7373333333333334,0.61875,0.029333333333333333,0.0,0.3091666666666667,0.0
-2220871490037406755,0.6666666666666666,0.7562500000000001,1.0,0.45,0.6666666666666666,0.75,0.0,0.0,0.0,1.0,0.0,0.0
7043280992801893540,1.0,0.81,0.9411666666666666,0.9,0.4646666666666666,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.9500000000000001
1291756122494266966,0.6666666666666666,0.86875,0.9411666666666666,0.6667500000000001,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
-4496948886511375775,1.0,1.0,0.9803333333333333,0.9167500000000001,1.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
-6933141130312832957,0.8333333333333334,0.96875,0.9701666666666666,0.75,0.798,0.5900000000000001,0.0,0.0,0.0,0.0,0.0,0.0
-5361344255798335551,0.8079999999999999,0.5599999999999999,0.6666666666666666,0.7000000000000001,0.6666666666666666,0.67,0.0,0.0,0.0,0.0,0.0,0.0
-1666203804275194877,0.5253333333333333,0.0,1.0,0.8,0.8686666666666666,0.91,1.0,1.0,0.0,0.0,0.0,0.0
-1601812595605110000,0.5253333333333333,0.0,0.45099999999999996,0.0,0.4646666666666666,0.0,1.0,0.90825,0.8333333333333334,0.70825,1.0,1.0
-2148586303836883266,0.5253333333333333,0.0,0.6666666666666666,1.0,1.0,0.66,1.0,0.875,0.0,0.0,0.0,0.0
4740832759809305630,0.798,0.75825,0.3078333333333333,0.0,0.6666666666666666,0.8400000000000001,0.0,0.0,1.0,0.9,0.0,0.0
6884878057813581915,1.0,0.6900000000000001,1.0,0.80825,0.9666666666666667,0.8500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
-2132119119540291327,1.0,0.9,1.0,0.65825,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1892025775020728556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4521923521778865629,0.6666666666666666,0.54,0.9215,0.525,0.6333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4549037196688029884,0.5,0.0,0.45099999999999996,0.0,0.5353333333333333,0.0,0.4646666666666666,0.0,1.0,0.8500000000000001,1.0,0.9500000000000001
-3227121561479294361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8779089380434370496,1.0,0.6275000000000001,0.985,0.83325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9500000000000001
8998709683341737387,0.5,0.0,0.8098333333333334,1.0,0.7758333333333333,0.5,1.0,0.405,0.0,0.0,0.0,0.0
7033684842776896569,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3686666666666667,0.0,0.0,0.0
2552536876878634350,0.8989999999999999,0.7255,0.3636666666666667,0.0,0.5626666666666666,0.0,0.0,0.0,0.6666666666666666,0.625,0.6666666666666666,0.9199999999999999
-615633346219749787,0.6666666666666666,0.0,0.3686666666666667,0.0,0.5736666666666667,0.0,0.0,0.75825,0.8059999999999999,0.8,0.7646666666666667,0.39
6865909218171469314,1.0,1.0,1.0,1.0,1.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
-194552761308088134,0.0,0.0,0.3333333333333333,0.0,0.7646666666666667,0.5,1.0,0.875,0.7263333333333333,0.8167500000000001,0.0,0.0
6407478871865718439,1.0,0.875,1.0,0.8500000000000001,0.798,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1810597732151645540,0.798,0.86,0.8333333333333334,0.8167500000000001,0.7313333333333334,0.8800000000000001,0.0,0.0,0.0,0.0,0.0,0.0
-2138889851879550323,0.5151666666666667,0.0,0.7118333333333333,0.125,0.3333333333333333,0.0,0.7121666666666666,0.79,0.0,0.75,0.6,0.0
447800223622260878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6471086516591739998,1.0,0.9500000000000001,0.9801666666666667,1.0,1.0,0.8800000000000001,0.0,0.0,0.0,0.0,0.0,0.0
-6831889605595977853,0.6666666666666666,0.9500000000000001,0.8686666666666666,0.8,0.798,0.39,0.0,0.0,0.0,0.0,0.0,1.0
-8241932169025631401,0.8079999999999999,0.78,0.8431666666666667,0.60825,0.6666666666666666,0.27,0.0,0.0,0.0,0.0,0.0,0.54
61731232682279048,1.0,0.90625,0.5098333333333334,0.0,0.603,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-2554747970079279176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4822872751343701809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8086203623778484726,0.16666666666666666,0.0,0.0,0.0,0.6445000000000001,0.8500000000000001,1.0,0.9800000000000001,1.0,0.625,0.0,0.0
9037443037211696858,0.8333333333333334,0.8262499999999999,0.853,0.7000000000000001,0.9333333333333333,0.73,0.0,0.0,0.0,0.0,0.0,0.0
3106189770976738151,1.0,0.9375,0.853,0.9,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
